County,Year,LST,Precipitation,NDVI,RH,avg_temp,max_temp,min_temp,Cases
Pinal,2017,37.1695068,0.718840805,0.229468346,60.09197403,22.1060972,35.374,10.049,1
Maricopa,2017,38.70250899,0.549082342,0.202333433,57.75080903,23.10870101,35.57,10.475,0
Navajo,2017,31.04156421,0.637693284,0.216175908,72.77644885,13.68974252,26.799,-0.717,2
Apache,2017,29.24531216,0.713787478,0.248738326,77.72674093,12.53890943,26.165,-1.377,0
Pima,2018,36.10028898,1.012801598,0.229640617,69.40345423,20.90326396,33.772,10.262,3
Santa Cruz,2018,31.81526899,1.431344392,0.327586992,78.25627984,17.40457929,30.978,6.835,0
Gila,2018,29.19258204,1.398702448,0.380857655,67.19327133,15.75446692,28.191,3.548,7
Yuma,2018,39.66576413,0.408740213,0.149920454,65.37377485,23.56574028,35.743,12.626,0
Cochise,2018,33.14712851,1.184981387,0.256319724,76.93050391,17.40152543,30.342,5.893,0
Yavapai,2018,31.08758428,1.245616404,0.302840555,65.84460263,15.9982003,28.564,4.374,0
La Paz,2018,38.02411791,0.446016143,0.162350413,60.11515671,22.83522749,35.307,11.923,0
Mohave,2018,32.49175317,0.775210715,0.206075696,55.71435648,17.30160712,30.371,6.637,0
Coconino,2018,28.66610674,0.914348145,0.250222174,71.52113921,12.54099884,26.207,0.886,0
Greenlee,2018,29.35006046,1.153002761,0.326038598,75.72949458,14.33011038,26.221,1.137,0
Graham,2018,32.62131679,1.037980975,0.278817311,73.01199518,17.13021412,29.655,5.46,3
Pinal,2018,36.02926031,0.894305135,0.246262017,64.69246751,21.33787782,33.982,10.347,0
Maricopa,2018,37.47409271,0.732524885,0.216153476,62.63069105,22.36067681,34.421,11.024,2
Navajo,2018,30.48488513,0.751489395,0.213158493,73.11125936,12.79591821,26.04,0.434,23
Apache,2018,28.78934819,0.839850318,0.241557716,77.81719644,11.62888355,25.327,-0.744,0
Pima,2019,36.60164691,0.715694045,0.234894698,67.62525484,21.23618928,33.297,9.243,1
Santa Cruz,2019,32.17929964,1.136196886,0.324201684,75.13976578,17.75935802,30.71,5.723,0
Gila,2019,29.31480978,1.154659948,0.397668315,65.20108725,16.04333615,27.547,0.857,1
Yuma,2019,39.55650319,0.33088093,0.161975883,65.37099979,23.79440721,35.116,10.937,0
Cochise,2019,33.13582156,0.91577367,0.265684958,73.79048422,17.70287024,29.764,4.964,1
Yavapai,2019,31.3327627,1.034203156,0.314974862,63.53986534,16.31783734,27.246,1.743,0
La Paz,2019,37.74203457,0.429520208,0.177522317,58.80675665,23.04801343,34.447,10.277,0
Mohave,2019,32.68106271,0.635636403,0.220698125,53.45951437,17.4804651,28.869,4.806,0
Coconino,2019,29.28412878,0.696329233,0.251119013,70.10435211,12.74388503,24.603,-1.641,0
Greenlee,2019,29.50041366,0.976331491,0.332013019,73.6274919,14.44598962,25.074,-1.074,0
Graham,2019,32.67752174,0.793786212,0.290783886,70.13823413,17.37532294,29.072,3.671,3
Pinal,2019,36.38547572,0.652224474,0.262880124,62.79354322,21.65733001,33.514,9.098,2
Maricopa,2019,37.47494192,0.622991907,0.232847094,61.09812575,22.60763433,33.539,9.501,4
Navajo,2019,30.95909821,0.617458952,0.220699874,72.56293328,12.8884554,25.022,-1.82,35
Apache,2019,29.24290382,0.713137657,0.24449944,77.31245263,11.6747185,24.199,-2.946,1
Pima,2020,36.51977961,0.7432712,0.223075028,65.42806707,21.72787063,32.364,7.431,0
Santa Cruz,2020,32.07555434,1.067592247,0.328905483,72.53896361,18.23626273,30.201,4.151,0
Gila,2020,29.45206657,1.080058464,0.390953158,62.3799777,16.49957932,26.818,0.299,4
Yuma,2020,39.51351763,0.299754417,0.157023035,62.43177645,24.41724081,33.96,9.68,0
Cochise,2020,32.87099948,0.827973125,0.264147388,70.35780131,18.06287673,29.357,3.32,0
Yavapai,2020,31.52716965,0.909211974,0.309652296,61.73768229,16.85378288,26.807,0.948,0
La Paz,2020,37.88804715,0.320796964,0.164145964,55.36274051,23.74233421,33.657,8.888,0
Mohave,2020,32.92835695,0.458460444,0.215489506,50.70758011,18.2617748,28.315,3.184,0
Coconino,2020,29.09679641,0.632532902,0.256865764,68.75174011,13.49194042,24.417,-2.707,0
Greenlee,2020,29.37881948,0.926754041,0.336495268,70.64180357,14.86846576,24.167,-2.72,0
Graham,2020,32.41423099,0.796000242,0.290643989,67.22729619,17.75492432,28.186,2.182,1
Pinal,2020,36.47766216,0.685729262,0.247965261,59.95244551,22.09427374,32.706,7.448,0
Maricopa,2020,37.77555236,0.568761661,0.216309707,57.77746044,23.15817999,32.599,7.955,2
Navajo,2020,30.99371528,0.570103153,0.226935311,72.17649637,13.57907469,24.617,-3.06,26
Apache,2020,29.2492359,0.701492191,0.252835029,76.42262556,12.39853809,23.748,-4.462,2
